采样时间,进程PID,内存占用(MB),CPU占用率(%),进程状态
2025-10-15 09:00:00,12483,314.6,0.4,运行中
2025-10-15 09:05:00,12483,309.3,1.2,运行中
2025-10-15 09:10:00,12483,317.1,2.9,运行中
2025-10-15 09:15:00,12483,320.1,0.6,运行中
2025-10-15 09:20:00,12483,313.0,0.4,运行中
2025-10-15 09:25:00,12483,310.2,15.3,运行中
2025-10-15 09:30:00,12483,307.6,11.2,运行中
2025-10-15 09:35:00,12483,318.1,15.9,运行中
2025-10-15 09:40:00,12483,311.7,16.5,运行中
2025-10-15 09:45:00,12483,321.6,8.6,运行中
2025-10-15 09:50:00,12483,322.0,17.9,运行中
2025-10-15 09:55:00,12483,315.0,10.6,运行中
2025-10-15 10:00:00,12483,325.3,1.6,运行中
2025-10-15 10:05:00,12483,311.9,0.7,运行中
2025-10-15 10:10:00,12483,324.4,2.7,运行中
2025-10-15 10:15:00,12483,324.2,3.1,运行中
2025-10-15 10:20:00,12483,320.3,4.1,运行中
2025-10-15 10:25:00,12483,318.2,2.5,运行中
2025-10-15 10:30:00,12483,325.8,2.7,运行中
2025-10-15 10:35:00,12483,326.8,2.6,运行中
2025-10-15 10:40:00,12483,324.7,0.5,运行中
2025-10-15 10:45:00,12483,317.5,1.4,运行中
2025-10-15 10:50:00,12483,315.5,1.2,运行中
2025-10-15 10:55:00,12483,316.2,1.4,运行中
2025-10-15 11:00:00,12483,325.2,1.7,运行中
2025-10-15 11:05:00,12483,321.3,1.1,运行中
2025-10-15 11:10:00,12483,320.0,4.0,运行中
2025-10-15 11:15:00,12483,326.5,2.7,运行中
2025-10-15 11:20:00,12483,319.2,3.1,运行中
2025-10-15 11:25:00,12483,319.4,1.8,运行中
2025-10-15 11:30:00,12483,333.0,2.8,运行中
2025-10-15 11:35:00,12483,326.4,3.0,运行中
2025-10-15 11:40:00,12483,331.3,3.3,运行中
2025-10-15 11:45:00,12483,321.8,0.4,运行中
2025-10-15 11:50:00,12483,323.4,1.3,运行中
2025-10-15 11:55:00,12483,322.1,4.0,运行中
2025-10-15 12:00:00,12483,333.0,1.5,运行中
2025-10-15 12:05:00,12483,329.7,1.8,运行中
2025-10-15 12:10:00,12483,334.1,2.1,运行中
2025-10-15 12:15:00,12483,324.0,1.3,运行中
2025-10-15 12:20:00,12483,329.0,1.3,运行中
2025-10-15 12:25:00,12483,329.6,3.8,运行中
2025-10-15 12:30:00,12483,326.8,1.2,运行中
2025-10-15 12:35:00,12483,336.6,2.3,运行中
2025-10-15 12:40:00,12483,322.3,0.5,运行中
2025-10-15 12:45:00,12483,322.8,2.7,运行中
2025-10-15 12:50:00,12483,333.9,1.9,运行中
2025-10-15 12:55:00,12483,322.4,1.8,运行中
2025-10-15 13:00:00,12483,337.5,2.4,运行中
2025-10-15 13:05:00,12483,337.2,3.7,运行中
2025-10-15 13:10:00,12483,322.0,3.1,运行中
2025-10-15 13:15:00,12483,332.8,2.4,运行中
